date,passage,samples,strata
2023-06-01,0,0,
2023-06-02,0,0,
2023-06-03,17,0,
2023-06-04,42,0,
2023-06-05,87,0,
2023-06-06,184,7,
2023-06-07,16,0,
2023-06-08,6,4,
2023-06-09,95,9,
2023-06-10,115,1,
2023-06-11,0,0,
2023-06-12,0,0,
2023-06-13,3,1,
2023-06-14,10,3,
2023-06-15,47,0,
2023-06-16,86,2,
2023-06-17,32,12,
2023-06-18,128,12,
2023-06-19,273,28,
2023-06-20,157,20,
2023-06-21,114,14,
2023-06-22,241,60,
2023-06-23,504,50,
2023-06-24,220,27,
2023-06-25,397,30,
2023-06-26,106,3,
2023-06-27,72,7,
2023-06-28,53,8,
2023-06-29,11,6,
2023-06-30,197,9,
2023-07-01,79,5,
2023-07-02,48,4,
2023-07-03,37,4,
2023-07-04,68,5,
2023-07-05,31,14,
2023-07-06,10,3,
2023-07-07,122,10,
2023-07-08,5,0,
2023-07-09,2,0,
2023-07-10,13,4,
2023-07-11,10,0,
2023-07-12,23,0,
2023-07-13,7,0,
2023-07-14,4,1,
2023-07-15,14,0,
2023-07-16,0,0,
2023-07-17,0,0,
2023-07-18,0,0,
2023-07-19,0,0,
2023-07-20,0,0,
2023-07-21,0,0,
2023-07-22,0,0,
2023-07-23,0,0,
2023-07-24,0,0,
2023-07-25,0,0,
2023-07-26,0,0,
2023-07-27,0,0,
2023-07-28,0,0,
2023-07-29,0,0,
2023-07-30,4,0,
2023-07-31,1,0,
2023-08-01,5,0,
2023-08-02,4,0,
2023-08-03,3,0,
2023-08-04,0,0,
2023-08-05,0,0,
2023-08-06,1,0,
2023-08-07,2,0,
2023-08-08,0,0,
2023-08-09,2,0,
2023-08-10,0,0,
2023-08-11,7,0,
2023-08-12,4,0,
2023-08-13,5,0,
2023-08-14,6,0,
2023-08-15,1,0,
2023-08-16,4,0,
2023-08-17,0,0,
2023-08-18,2,0,
2023-08-19,0,0,
2023-08-20,1,0,
2023-08-21,0,0,
2023-08-22,1,0,
2023-08-23,1,0,
2023-08-24,1,0,
2023-08-25,0,0,
