date,length,sex,age,strata
2024-06-07,515,M,1.1,1
2024-06-07,530,M,1.1,1
2024-06-07,525,M,1.1,1
2024-06-07,835,F,1.3,1
2024-06-07,510,M,1.1,1
2024-06-07,510,M,1.1,1
2024-06-07,580,M,1.2,1
2024-06-07,580,M,1.1,1
2024-06-14,460,M,3,1
2024-06-15,530,M,1.1,1
2024-06-15,650,M,1.2,1
2024-06-15,430,M,1.1,1
2024-06-16,550,M,1.1,1
2024-06-16,460,M,3,1
2024-06-16,520,M,1.1,1
2024-06-16,530,M,3,1
2024-06-16,740,M,1.3,1
2024-06-17,700,F,1.3,1
2024-06-17,820,F,1.3,1
2024-06-17,460,M,1.1,1
2024-06-17,540,M,1.1,1
2024-06-17,680,M,1.2,1
2024-06-17,820,F,1.3,1
2024-06-17,740,F,1.3,1
2024-06-18,470,M,1.1,1
2024-06-18,480,F,1.1,1
2024-06-18,540,M,1.1,1
2024-06-18,720,M,1.2,1
2024-06-18,440,M,1.1,1
2024-06-18,470,M,1.1,1
2024-06-18,510,M,1.1,1
2024-06-18,490,M,1.1,1
2024-06-18,330,M,3,1
2024-06-18,540,M,1.1,1
2024-06-19,780,M,1.3,1
2024-06-21,670,M,1.2,1
2024-06-21,550,M,1.1,1
2024-06-21,710,F,1.2,1
2024-06-21,770,F,1.2,1
2024-06-21,670,M,1.3,1
2024-06-22,540,M,3,1
2024-06-22,520,M,1.1,1
2024-06-22,530,M,1.1,1
2024-06-22,560,M,3,1
2024-06-22,470,M,1.1,1
2024-06-22,540,M,1.1,1
2024-06-22,760,F,3,1
2024-06-22,830,F,1.3,1
2024-06-22,660,F,1.2,1
2024-06-22,540,M,1.1,1
2024-06-22,690,M,1.2,1
2024-06-22,590,M,1.2,1
2024-06-22,610,M,1.2,1
2024-06-22,730,F,1.3,1
2024-06-22,480,M,1.1,1
2024-06-22,500,M,1.1,1
2024-06-22,540,M,1.1,1
2024-06-22,700,M,1.2,1
2024-06-22,710,F,1.3,1
2024-06-22,570,M,1.1,1
2024-06-22,730,F,1.3,1
2024-06-22,760,F,1.3,1
2024-06-22,500,M,1.1,1
2024-06-22,510,M,1.1,1
2024-06-22,420,M,1.1,1
2024-06-22,470,M,1.1,1
2024-06-22,560,M,1.2,1
2024-06-22,430,M,5,1
2024-06-22,460,M,1.1,1
2024-06-22,510,M,1.1,1
2024-06-25,490,M,1.1,1
2024-06-25,700,F,1.2,1
2024-06-25,460,M,1.1,1
2024-06-25,580,M,1.2,1
2024-06-25,640,F,1.2,1
2024-06-26,500,M,1.1,1
2024-06-26,730,F,1.3,1
2024-06-26,540,M,1.1,1
2024-06-26,720,M,1.2,1
2024-06-26,740,F,1.3,1
2024-06-26,590,M,1.1,1
2024-06-26,520,M,1.1,1
2024-06-26,720,M,3,1
2024-06-27,570,F,1.1,1
2024-06-27,740,M,1.2,1
2024-06-28,730,F,1.2,1
2024-06-28,740,F,1.3,1
2024-06-28,440,M,1.1,1
2024-06-28,470,M,1.1,1
2024-06-28,380,M,1.1,1
2024-06-28,430,M,1.1,1
2024-06-29,440,M,1.1,1
2024-06-29,470,M,1.1,1
2024-06-29,570,M,1.1,1
2024-06-29,580,M,1.1,1
2024-06-29,540,M,1.1,1
2024-06-29,520,M,1.1,1
2024-06-29,600,M,1.1,1
2024-06-29,550,M,1.1,1
2024-06-30,680,F,1.2,1
2024-06-30,720,F,3,1
2024-06-30,780,F,1.3,1
2024-07-01,550,M,1.1,1
2024-07-01,530,M,1.1,1
2024-07-01,670,M,3,1
2024-07-01,770,M,1.3,1
2024-07-01,510,M,1.1,1
2024-07-01,690,F,3,1
2024-07-01,800,M,1.3,1
2024-07-02,560,M,1.1,1
2024-07-02,580,M,1.1,1
2024-07-02,540,M,1.1,1
2024-07-02,460,M,1.1,1
2024-07-02,540,M,1.1,1
2024-07-02,430,M,1.1,1
2024-07-02,530,M,1.1,1
2024-07-02,650,F,1.2,1
2024-07-02,720,F,1.2,1
2024-07-03,300,M,1.1,1
2024-07-04,530,F,1.1,1
2024-07-04,540,M,1.1,1
2024-07-04,550,M,1.1,1
2024-07-05,510,M,1.1,1
2024-07-05,520,M,1.1,1
2024-07-07,500,M,1.1,1
2024-07-07,470,M,1.1,1
2024-07-07,580,M,6,1
2024-07-07,730,F,1.2,1
2024-07-07,700,M,1.2,1
2024-07-07,440,M,1.1,1
2024-07-07,530,M,1.1,1
2024-07-07,710,F,1.2,1
2024-07-07,690,M,1.2,1
2024-07-07,700,F,1.2,1
2024-07-07,700,F,1.2,1
2024-07-07,860,F,1.4,1
2024-07-07,700,F,1.2,1
2024-07-07,710,M,1.2,1
2024-07-07,790,F,6,1
2024-07-07,540,M,3,1
2024-07-07,710,F,3,1
2024-07-07,500,M,1.1,1
2024-07-07,560,M,1.2,1
2024-07-07,530,M,1.1,1
2024-07-07,590,M,3,1
2024-07-07,600,M,1.2,1
2024-07-07,720,F,1.3,1
2024-07-07,560,M,1.2,1
2024-07-07,600,M,3,1
2024-07-07,510,M,1.1,1
2024-07-07,750,F,1.2,1
2024-07-07,730,M,3,1
2024-07-07,810,F,1.3,1
2024-07-07,450,M,1.1,1
2024-07-07,530,M,1.1,1
2024-07-07,760,F,1.3,1
2024-07-07,730,F,1.3,1
2024-07-07,510,M,1.1,1
2024-07-07,820,M,1.3,1
2024-07-07,570,M,1.1,1
2024-07-07,600,M,1.2,1
2024-07-07,540,M,1.1,1
2024-07-08,540,M,1.1,1
2024-07-08,520,M,1.1,1
2024-07-08,500,M,3,1
2024-07-08,580,M,6,1
2024-07-08,600,M,1.2,1
2024-07-08,520,M,3,1
2024-07-08,480,M,1.1,1
2024-07-08,750,F,3,1
2024-07-08,740,M,1.3,1
2024-07-08,540,M,1.1,1
2024-07-08,540,M,1.1,1
2024-07-08,500,M,1.1,1
2024-07-08,500,M,1.1,1
2024-07-08,480,M,1.1,1
2024-07-08,770,M,3,1
2024-07-08,530,M,1.1,1
2024-07-08,710,F,1.2,1
2024-07-08,750,M,3,1
2024-07-08,780,F,6,1
2024-07-08,700,F,1.2,1
2024-07-08,740,F,1.3,1
2024-07-08,570,M,1.1,1
2024-07-08,650,M,1.2,1
2024-07-08,710,F,1.3,1
2024-07-08,530,M,1.1,1
2024-07-08,720,M,1.2,1
2024-07-08,670,M,1.2,1
2024-07-08,730,F,1.2,1
2024-07-08,560,M,1.1,1
2024-07-08,780,M,1.3,1
2024-07-11,760,F,1.2,1
2024-07-11,505,M,1.1,1
2024-07-11,715,F,1.3,1
2024-07-11,635,M,1.2,1
2024-07-14,740,F,1.3,1
2024-07-14,540,M,1.1,1
2024-07-14,630,M,1.2,1
2024-07-14,585,M,6,1
2024-07-14,740,F,1.2,1
2024-07-14,730,F,1.2,1
2024-07-14,520,M,1.1,1
2024-07-14,405,M,1.1,1
2024-07-14,515,M,1.1,1
2024-07-14,600,M,4,1
2024-07-14,760,M,6,1
2024-07-15,620,F,1.2,1
2024-07-15,680,F,1.2,1
2024-07-15,670,F,1.2,1
2024-07-15,740,M,1.3,1
2024-07-15,750,M,1.3,1
2024-07-15,770,M,1.3,1
2024-07-15,810,M,3,1
2024-07-15,600,M,1.2,1
2024-07-15,550,M,1.1,1
2024-07-15,460,M,1.1,1
2024-07-15,500,M,1.1,1
2024-07-15,540,M,1.1,1
2024-07-15,730,M,3,1
2024-07-15,800,F,3,1
2024-07-15,750,F,1.3,1
2024-07-15,740,M,3,1
2024-07-15,690,F,1.2,1
2024-07-15,700,M,1.2,1
2024-07-15,610,M,1.2,1
2024-07-15,620,F,1.2,1
2024-07-15,740,F,1.3,1
2024-07-15,500,M,1.1,1
2024-07-15,510,M,1.1,1
2024-07-15,730,F,1.3,1
2024-07-15,580,M,3,1
2024-07-15,570,M,4,1
2024-07-15,750,F,6,1
2024-07-15,600,M,1.2,1
2024-07-15,800,F,1.3,1
2024-07-15,720,F,1.2,1
2024-07-15,750,F,6,1
2024-07-15,460,M,3,1
2024-07-15,590,M,1.1,1
2024-07-15,650,F,1.2,1
2024-07-16,580,M,1.2,1
2024-07-16,750,M,1.3,1
2024-07-16,650,M,1.2,1
2024-07-16,565,M,6,1
2024-07-16,570,M,4,1
2024-07-16,680,M,6,1
2024-07-16,510,M,1.1,1
2024-07-16,505,M,1.1,1
2024-07-16,655,M,6,1
2024-07-16,650,M,6,1
2024-07-17,550,F,1.1,1
2024-07-17,530,M,1.1,1
2024-07-17,520,M,1.1,1
2024-07-17,600,M,3,1
2024-07-17,575,M,1.2,1
2024-07-17,775,F,1.3,1
2024-07-17,585,M,6,1
2024-07-17,750,F,1.3,1
2024-07-17,540,M,1.1,1
2024-07-17,805,F,1.3,1
2024-07-18,720,F,1.3,1
2024-07-18,650,F,1.2,1
2024-07-18,770,F,1.3,1
2024-07-18,730,F,1.2,1
2024-07-18,710,F,1.2,1
2024-07-18,570,M,1.1,1
2024-07-19,480,M,1.1,1
2024-07-19,770,F,3,1
2024-07-19,580,M,3,1
2024-07-19,760,F,1.2,1
2024-07-19,480,M,1.1,1
2024-07-19,440,M,1.1,1
2024-07-19,580,M,1.1,1
2024-07-19,760,M,1.2,1
2024-07-19,450,M,1.1,1
2024-07-20,580,M,1.1,1
2024-07-20,550,M,1.1,1
