date,passage,samples,strata
2024-06-01,6,0,1
2024-06-02,3,0,1
2024-06-03,0,0,1
2024-06-04,40,0,1
2024-06-05,0,0,1
2024-06-06,8,0,1
2024-06-07,46,8,1
2024-06-08,41,0,1
2024-06-09,23,0,1
2024-06-10,62,0,1
2024-06-11,3,0,1
2024-06-12,5,0,1
2024-06-13,5,0,1
2024-06-14,26,1,1
2024-06-15,83,3,1
2024-06-16,121,5,1
2024-06-17,142,7,1
2024-06-18,66,10,1
2024-06-19,202,1,1
2024-06-20,33,0,1
2024-06-21,370,5,1
2024-06-22,676,30,1
2024-06-23,441,0,1
2024-06-24,15,0,1
2024-06-25,16,5,1
2024-06-26,29,8,1
2024-06-27,34,2,1
2024-06-28,29,6,1
2024-06-29,37,8,1
2024-06-30,26,3,1
2024-07-01,48,7,1
2024-07-02,36,9,1
2024-07-03,88,1,1
2024-07-04,7,3,1
2024-07-05,2,2,1
2024-07-06,0,0,1
2024-07-07,250,38,1
2024-07-08,96,30,1
2024-07-09,8,0,1
2024-07-10,2,0,1
2024-07-11,5,4,1
2024-07-12,2,0,1
2024-07-13,0,0,1
2024-07-14,18,11,1
2024-07-15,87,34,1
2024-07-16,38,10,1
2024-07-17,17,10,1
2024-07-18,13,6,1
2024-07-19,24,9,1
2024-07-20,10,2,1
2024-07-21,34,0,1
2024-07-22,9,0,1
2024-07-23,5,0,1
2024-07-24,2,0,1
2024-07-25,2,0,1
2024-07-26,0,0,1
2024-07-27,0,0,1
2024-07-28,9,0,1
2024-07-29,5,0,1
2024-07-30,12,0,1
2024-07-31,5,0,1
2024-08-01,0,0,1
2024-08-02,2,0,1
2024-08-03,1,0,1
2024-08-04,1,0,1
2024-08-05,2,0,1
2024-08-06,0,0,1
2024-08-07,0,0,1
2024-08-08,8,0,1
2024-08-09,4,0,1
